Row_ID,Order_Date,Ship_Date,Ship_Mode,Delay_Timing,Delay_Timing_Days
1,2017-08-11,2017-11-11,Second Class,92 days,92
2,2017-08-11,2017-11-11,Second Class,92 days,92
13,2018-04-15,2018-04-20,Standard Class,5 days,5
14,2017-05-12,2017-10-12,Standard Class,153 days,153
15,2016-11-22,2016-11-26,Standard Class,4 days,4
16,2016-11-22,2016-11-26,Standard Class,4 days,4
17,2015-11-11,2015-11-18,Standard Class,7 days,7
18,2015-05-13,2015-05-15,Second Class,2 days,2
22,2017-09-12,2017-12-13,Standard Class,92 days,92
23,2017-09-12,2017-12-13,Standard Class,92 days,92
24,2018-07-16,2018-07-18,Second Class,2 days,2
25,2016-09-25,2016-09-30,Standard Class,5 days,5
26,2017-01-16,2017-01-20,Second Class,4 days,4
27,2017-01-16,2017-01-20,Second Class,4 days,4
28,2016-09-17,2016-09-21,Standard Class,4 days,4
29,2016-09-17,2016-09-21,Standard Class,4 days,4
30,2016-09-17,2016-09-21,Standard Class,4 days,4
31,2016-09-17,2016-09-21,Standard Class,4 days,4
32,2016-09-17,2016-09-21,Standard Class,4 days,4
33,2016-09-17,2016-09-21,Standard Class,4 days,4
34,2016-09-17,2016-09-21,Standard Class,4 days,4
35,2018-10-19,2018-10-23,Second Class,4 days,4
36,2017-08-12,2017-10-12,First Class,61 days,61
37,2017-08-12,2017-10-12,First Class,61 days,61
38,2016-12-27,2016-12-31,Standard Class,4 days,4
39,2016-12-27,2016-12-31,Standard Class,4 days,4
40,2016-12-27,2016-12-31,Standard Class,4 days,4
41,2016-12-27,2016-12-31,Standard Class,4 days,4
43,2017-07-17,2017-07-22,Standard Class,5 days,5
44,2018-09-19,2018-09-23,Standard Class,4 days,4
47,2015-10-20,2015-10-25,Second Class,5 days,5
48,2017-06-20,2017-06-25,Standard Class,5 days,5
49,2017-06-20,2017-06-25,Standard Class,5 days,5
50,2016-04-18,2016-04-22,Standard Class,4 days,4
51,2016-04-18,2016-04-22,Standard Class,4 days,4
52,2016-04-18,2016-04-22,Standard Class,4 days,4
53,2016-04-18,2016-04-22,Standard Class,4 days,4
54,2017-11-12,2017-12-17,Standard Class,35 days,35
55,2017-11-12,2017-12-17,Standard Class,35 days,35
63,2016-11-24,2016-11-30,Standard Class,6 days,6
64,2016-11-24,2016-11-30,Standard Class,6 days,6
65,2016-11-24,2016-11-30,Standard Class,6 days,6
66,2016-11-24,2016-11-30,Standard Class,6 days,6
67,2016-04-30,2016-05-05,Standard Class,5 days,5
68,2015-05-12,2015-10-12,Standard Class,153 days,153
69,2015-05-12,2015-10-12,Standard Class,153 days,153
70,2017-04-06,2017-06-06,First Class,61 days,61
71,2017-09-18,2017-09-23,Standard Class,5 days,5
72,2018-09-14,2018-09-17,Second Class,3 days,3
76,2018-09-12,2018-11-12,First Class,61 days,61
77,2018-09-12,2018-11-12,First Class,61 days,61
78,2018-09-12,2018-11-12,First Class,61 days,61
84,2016-03-09,2016-08-09,Standard Class,153 days,153
85,2018-11-13,2018-11-16,First Class,3 days,3
86,2018-05-28,2018-05-30,Second Class,2 days,2
89,2017-05-04,2017-10-04,Second Class,153 days,153
90,2017-09-17,2017-09-22,Standard Class,5 days,5
91,2017-09-17,2017-09-22,Standard Class,5 days,5
92,2017-09-17,2017-09-22,Standard Class,5 days,5
93,2016-01-31,2016-05-02,Second Class,92 days,92
94,2016-01-31,2016-05-02,Second Class,92 days,92
95,2016-01-31,2016-05-02,Second Class,92 days,92
96,2018-06-11,2018-12-11,Standard Class,183 days,183
97,2018-09-11,2018-11-11,Second Class,61 days,61
98,2018-06-17,2018-06-20,First Class,3 days,3
99,2017-06-09,2017-11-09,Standard Class,153 days,153
103,2017-01-12,2017-04-12,Second Class,90 days,90
104,2016-11-13,2016-11-17,Standard Class,4 days,4
105,2016-11-13,2016-11-17,Standard Class,4 days,4
106,2016-11-13,2016-11-17,Standard Class,4 days,4
107,2018-11-23,2018-11-28,Standard Class,5 days,5
108,2018-11-23,2018-11-28,Standard Class,5 days,5
109,2018-11-23,2018-11-28,Standard Class,5 days,5
110,2016-10-15,2016-10-20,Standard Class,5 days,5
111,2018-12-25,2018-12-30,Standard Class,5 days,5
112,2017-03-11,2017-10-11,Standard Class,214 days,214
113,2017-03-11,2017-10-11,Standard Class,214 days,214
114,2015-08-25,2015-08-27,Second Class,2 days,2
115,2015-08-25,2015-08-27,Second Class,2 days,2
116,2015-08-25,2015-08-27,Second Class,2 days,2
117,2015-08-25,2015-08-27,Second Class,2 days,2
118,2016-02-03,2016-06-03,Standard Class,121 days,121
119,2016-05-04,2016-10-04,Standard Class,153 days,153
125,2015-12-26,2015-12-28,Second Class,2 days,2
126,2015-09-20,2015-09-25,Standard Class,5 days,5
127,2018-05-11,2018-12-11,Standard Class,214 days,214
