Row_ID,Order_Date,Ship_Date,Ship_Mode,Delay_Timing,Delay_Timing_Days
1,2017-08-11,2017-11-11,Second Class,92 days,92.0
2,2017-08-11,2017-11-11,Second Class,92 days,92.0
3,2017-12-06,,Second Class,,
4,2016-11-10,,Standard Class,,
5,2016-11-10,,Standard Class,,
6,2015-09-06,,Standard Class,,
7,2015-09-06,,Standard Class,,
8,2015-09-06,,Standard Class,,
9,2015-09-06,,Standard Class,,
10,2015-09-06,,Standard Class,,
11,2015-09-06,,Standard Class,,
12,2015-09-06,,Standard Class,,
13,,,Standard Class,,
14,2017-05-12,2017-10-12,Standard Class,153 days,153.0
15,,,Standard Class,,
16,,,Standard Class,,
17,2015-11-11,,Standard Class,,
18,,,Second Class,,
19,,2015-01-09,Second Class,,
20,,2015-01-09,Second Class,,
21,,2015-01-09,Second Class,,
22,2017-09-12,,Standard Class,,
23,2017-09-12,,Standard Class,,
24,,,Second Class,,
25,,,Standard Class,,
26,,,Second Class,,
27,,,Second Class,,
28,,,Standard Class,,
29,,,Standard Class,,
30,,,Standard Class,,
31,,,Standard Class,,
32,,,Standard Class,,
33,,,Standard Class,,
34,,,Standard Class,,
35,,,Second Class,,
36,2017-08-12,2017-10-12,First Class,61 days,61.0
37,2017-08-12,2017-10-12,First Class,61 days,61.0
38,,,Standard Class,,
39,,,Standard Class,,
40,,,Standard Class,,
41,,,Standard Class,,
42,2018-10-09,,Standard Class,,
43,,,Standard Class,,
44,,,Standard Class,,
45,2017-11-03,,First Class,,
46,2017-11-03,,First Class,,
47,,,Second Class,,
48,,,Standard Class,,
49,,,Standard Class,,
50,,,Standard Class,,
51,,,Standard Class,,
52,,,Standard Class,,
53,,,Standard Class,,
54,2017-11-12,,Standard Class,,
55,2017-11-12,,Standard Class,,
56,,,First Class,,
57,,,First Class,,
58,,,First Class,,
59,,,First Class,,
60,,,First Class,,
61,,,First Class,,
62,,,First Class,,
63,,,Standard Class,,
64,,,Standard Class,,
65,,,Standard Class,,
66,,,Standard Class,,
67,,2016-05-05,Standard Class,,
68,2015-05-12,2015-10-12,Standard Class,153 days,153.0
69,2015-05-12,2015-10-12,Standard Class,153 days,153.0
